City,State,Type,Description
SEATTLE - CTC, WA, non-trad, The Washington State Centennial Bell Garden; Washington State Convention and Trade Center
SEATTLE - UW/2, WA, ring, The Gordon Stuart Peek Foundation Memorial Bells; Gerberding Hall; University of Washington
SEATTLE - UW/3, WA, trad, Kane Hall; University of Washington
SPOKANE - C, WA, trad, Carillon in Thanksgiving for the Life and Work of George Frederick Jewett; Bishop Cross Tower; Cathedral of St.John the Evangelist
VANCOUVER, WA, non-trad, Salmon Run Bell Tower; Esther Short Park
WHITE SALMON, WA, chime, City Hall
ATHENS, WV, trad, The Marsh Family Memorial Carillon; Joseph F. Marsh Hall (Administration Building); Concord University
HUNTINGTON, WV, chime, Thornburg Carillon [sic]; James E. Morrow Library; Marshall University
MORGANTOWN, WV, chime, Wesley United Methodist Church
MOUNDSVILLE, WV, chime, Simpson United Methodist Church (was First M.E. Church)
PHILIPPI, WV, non-trad, Jean Cunningham Bell Tower [demolished]; Wilcox Chapel; Alderson Broadus University
BARABOO, WI, chime, Ringling Bros. Bell Wagon; Circus World Museum
EAU CLAIRE - C, WI, chime, Christ Church Cathedral
EAU CLAIRE - G, WI, chime, Grace Lutheran Church (ELCA)
FOND DU LAC - P, WI, chime, Pilgrim United Church of Christ
FOND DU LAC - STP, WI, chime, Cathedral Church of St.Paul (Episcopal)
GREEN BAY - FL, WI, trad, Kaap Memorial Carillon; First Evangelical Lutheran Church
JANESVILLE, WI, chime, First Congregational Church, UCC
MADISON - GC, WI, non-trad, Grace Episcopal Church
MADISON - UW, WI, trad, Memorial Carillon; Carillon Tower; University of Wisconsin
MILWAUKEE - CDLC, WI, chime, Capitol Drive Lutheran Church (ELCA)
MILWAUKEE - MU, WI, trad, The Marquette University Carillon; Rooftop belfry; Marquette Building
Milwaukee, WI, great, City Hall
NASHOTAH, WI, ring, Nashotah House Theological Seminary (in storage)
NEILLSVILLE, WI, chime, United Church of Christ
NEW GLARUS - B, WI, chime, New Glarus Brewing Company
NEW GLARUS - RM, WI, chime, Re/Max Preferred (was Bank of New Glarus drive-up)
OSHKOSH, WI, chime, Trinity Episcopal Church
PEWAUKEE, WI, chime, *See NASHOTAH
RACINE - STL, WI, chime, St.Luke's Episcopal Church
WISCONSIN DELLS, WI, chime, The Bavarian Village
CHEYENNE, WY, chime, St.Mark's Episcopal Church
LARAMIE, WY, chime, St.Matthew's Episcopal Cathedral (formerly St.Matthew's Church)

